,Election,CandidateID,CandidateName,Date,Name,ContributerType,BoroughName,City,State,ZipCode,ContributionState,Amount,MatchAmt,PrevAmt,PayMethod,TotalAmount
121,2017,326.0,"de Blasio, Bill",,Local 2627 NYC Electronic Data,Labor Union,Manhattan,New York,NY,10007.0,,500.0,0.0,2000.0,Check,2500.0
122,2017,326.0,"de Blasio, Bill",,Local 2627 NYC Electronic Data,Labor Union,Manhattan,New York,NY,10007.0,,1000.0,0.0,0.0,Check,1000.0
123,2017,326.0,"de Blasio, Bill",,Local 2627 NYC Electronic Data,Labor Union,Manhattan,New York,NY,10007.0,,1000.0,0.0,1000.0,Check,2000.0
124,2017,326.0,"de Blasio, Bill",,Local 338 RWDSU/UFCW,Political Action Committee,Queens,Queens,NY,11374.0,,1500.0,0.0,0.0,Check,1500.0
125,2017,326.0,"de Blasio, Bill",,Local 338 RWDSU/UFCW,Political Action Committee,Queens,Queens,NY,11374.0,,500.0,0.0,1500.0,Check,2000.0
126,2017,326.0,"de Blasio, Bill",,Local 338 RWDSU/UFCW,Political Action Committee,Other,Mineola,NY,11501.0,,100.0,0.0,0.0,Check,100.0
127,2017,326.0,"de Blasio, Bill",,Local 338 RWDSU/UFCW,Political Action Committee,Other,Mineola,NY,11501.0,,1500.0,0.0,0.0,Check,1500.0
128,2017,326.0,"de Blasio, Bill",,Local 338 RWDSU/UFCW,Political Action Committee,Other,Mineola,NY,11501.0,,1350.0,0.0,1600.0,Check,2950.0
129,2017,326.0,"de Blasio, Bill",,Local 34 Unite Here,Labor Union,Other,New Haven,CT,6511.0,,4950.0,0.0,0.0,Check,4950.0
130,2017,326.0,"de Blasio, Bill",,Local 342 Political Action Fun,Labor Union,Other,Mineola,NY,11501.0,,4500.0,0.0,0.0,Check,4500.0
131,2017,326.0,"de Blasio, Bill",,Local 342 Political Action Fun,Labor Union,Other,Mineola,NY,11501.0,,-4500.0,0.0,0.0,Unknown,-4500.0
132,2017,326.0,"de Blasio, Bill",,Local 372 PAC,Labor Union,Manhattan,New York,NY,10007.0,,1000.0,0.0,0.0,Check,1000.0
133,2017,326.0,"de Blasio, Bill",,Local 372 PAC,Labor Union,Manhattan,New York,NY,10007.0,,1500.0,0.0,1000.0,Check,2500.0
134,2017,326.0,"de Blasio, Bill",,Local 372 PAC,Labor Union,Manhattan,New York,NY,10007.0,,950.0,0.0,2500.0,Check,3450.0
135,2017,326.0,"de Blasio, Bill",,"Local 372, NYC BOE Employees P",Political Action Committee,Manhattan,New York,NY,10007.0,,1500.0,0.0,0.0,Check,1500.0
136,2017,326.0,"de Blasio, Bill",,Local 461 AFSCME,Labor Union,Manhattan,New York,NY,10013.0,,1000.0,0.0,0.0,Check,1000.0
137,2017,326.0,"de Blasio, Bill",,Local 508 District Council 37,Labor Union,Manhattan,New York,NY,10007.0,,1000.0,0.0,0.0,Check,1000.0
138,2017,326.0,"de Blasio, Bill",,Local 6 Committee on Poltical,Political Action Committee,Manhattan,New York,NY,10036.0,,2450.0,0.0,0.0,Check,2450.0
139,2017,326.0,"de Blasio, Bill",,Local 6 Political Action Comm.,Political Action Committee,Manhattan,New York,NY,10036.0,,2500.0,0.0,0.0,Check,2500.0
140,2017,326.0,"de Blasio, Bill",,Local 638 Steamfitters,Political Action Committee,Queens,Long Island City,NY,11101.0,,421.0,0.0,0.0,Check,421.0
141,2017,326.0,"de Blasio, Bill",,Local 670 RWDSU UFCW,Labor Union,Manhattan,New York,NY,10007.0,,1000.0,0.0,0.0,Check,1000.0
142,2017,326.0,"de Blasio, Bill",,Local 670-General Fund,Political Action Committee,Manhattan,New York,NY,10007.0,,1000.0,0.0,0.0,Check,1000.0
143,2017,326.0,"de Blasio, Bill",,"Local 768, AFSCME",Labor Union,Manhattan,New York,NY,10007.0,,1000.0,0.0,0.0,Check,1000.0
